"angle","summedDistance"
0,96.6250808015514
5,36.935064935065
10,44.4175824175824
15,50.4175824175824
20,52
25,50
30,90.7899159663866
35,41.935064935065
40,34.935064935065
45,32.4175824175824
50,27.4603174603175
55,26.4603174603175
60,26.4603174603175
65,26.4603174603175
70,26.4603174603175
75,27
80,26.4603174603175
85,26.4603174603175
90,24.4603174603175
95,24
100,24
105,22.935064935065
110,19.4603174603175
115,28.7899159663866
120,10
