"order","x","y","length","raw.y"
"row_5",32.4285714285714,125.142714428429,2.998001998002,29.8572855715713
"row_6",32.4285714285714,120.142714428429,2.998001998002,34.8572855715713
"row_7",32.4285714285714,115.142714428429,2.998001998002,39.8572855715713
"row_8",32.4285714285714,110.142714428429,2.998001998002,44.8572855715713
"row_9",32.4285714285714,105.142714428429,2.998001998002,49.8572855715713
"row_10",32.4285714285714,100.142714428429,2.998001998002,54.8572855715713
"row_11",32.4285714285714,95.1427144284287,2.998001998002,59.8572855715713
"row_12",32.4285714285714,90.1427144284287,2.998001998002,64.8572855715713
"row_13",32.4285714285714,85.1427144284287,2.998001998002,69.8572855715713
"row_14",32.4285714285714,80.1427144284287,2.998001998002,74.8572855715713
"row_15",32.4285714285714,75.1427144284287,2.998001998002,79.8572855715713
"row_17",34.4285714285714,70.1427144284287,2.998001998002,84.8572855715713
"row_18",34.4285714285714,25.1427144284287,2.998001998002,129.857285571571
"row_20",37.4285714285714,65.1427144284287,2.998001998002,89.8572855715713
"row_25",51.4285714285714,25.1427144284287,2.998001998002,129.857285571571
"row_28",58.4285714285714,35.1427144284287,2.998001998002,119.857285571571
"row_24",50.8888888888889,45.1110001110001,3.998001998002,109.888999889
"row_3",26.3636363636364,135.090818272636,4.998001998002,19.9091817273635
"row_16",33.3636363636364,30.0908182726365,4.998001998002,124.909181727364
"row_21",40.3636363636364,60.0908182726365,4.998001998002,94.9091817273635
"row_22",42.3636363636364,55.0908182726365,4.998001998002,99.9091817273635
"row_23",47.3636363636364,50.0908182726365,4.998001998002,104.909181727364
"row_1",21.8461538461538,140.076846230692,5.998001998002,14.9231537693076
"row_4",28.8461538461538,130.076846230692,5.998001998002,24.9231537693076
"row_26",54.8461538461538,40.0768462306924,5.998001998002,114.923153769308
"row_27",55.8235294117647,30.0587647646471,7.998001998002,124.941235235353
"row_2",25.8,35.03996003996,11.998001998002,119.96003996004
"row_19",41.2857142857143,20.0285428856857,16.998001998002,134.971457114314
"duplic of 20",55.8235294117647,30.0587647646471,7.998001998002,124.941235235353
"duplic of 12",25.8,35.03996003996,11.998001998002,119.96003996004
"duplic of 11",41.2857142857143,20.0285428856857,16.998001998002,134.971457114314
